Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2014 | Abril|Total nacional|MERMELADAS,CONFIT.|2.606,74|8.988,98|3,45|21,83|0,06|0,2||
2014 | Abril|Total nacional|FRUTA CONS/ALMIBAR|4.015,82|8.547,89|2,13|16,04|0,09|0,19||
2014 | Abril|Total nacional|FRUTA ESCARCHADA|77,41|486,01|6,28|0,86|0|0,01||
2014 | Abril|Total nacional|RESTO FRUTA CONSER|692,94|2.660,68|3,84|6,09|0,02|0,06||
2014 | Abril|Total nacional|VERD./HORT.CONGELAD|11.078,52|19.609,92|1,77|35,86|0,25|0,44||
2014 | Abril|Total nacional|ESPINACAS|1.115,64|1.938,19|1,74|7,13|0,02|0,04||
2014 | Abril|Total nacional|GUISANTES|2.204,55|3.393,73|1,54|12,48|0,05|0,08||
2014 | Abril|Total nacional|JUDIA VERDE|2.317,51|2.869,90|1,24|9,7|0,05|0,06||
2014 | Abril|Total nacional|COLIFLOR|346,43|694,77|2,01|1,83|0,01|0,02||
2014 | Abril|Total nacional|PIMIENTOS|106,47|224,34|2,11|0,98|0|0,01||
2014 | Abril|Total nacional|BROCOLI|381,62|653,58|1,71|2,02|0,01|0,01||
2014 | Abril|Total nacional|MENESTRA|1.192,25|2.191,53|1,84|6,07|0,03|0,05||
2014 | Abril|Total nacional|OTR.VERD/HOR.CONG.|3.414,04|7.643,89|2,24|17,14|0,08|0,17||
2014 | Abril|Total nacional|FRUTAS CONGELADAS|43,72|201,87|4,62|0,23|0|0||
2014 | Mayo|Total nacional|GUISANTES|990,33|2.196,49|2,22|7,72|0,02|0,05||
2014 | Mayo|Total nacional|JUDIAS VERDES|1.054,90|1.584,61|1,5|5,61|0,02|0,04||
2014 | Mayo|Total nacional|PIMIENTOS|1.332,06|5.358,92|4,02|14,78|0,03|0,12||
2014 | Mayo|Total nacional|ESPARRAGOS|1.915,41|10.680,61|5,58|16,21|0,04|0,24||
2014 | Mayo|Total nacional|ALCACHOFAS|740,59|3.183,33|4,3|5,7|0,02|0,07||
2014 | Mayo|Total nacional|CHAMPIÑOSNES+SETAS|1.456,77|3.996,76|2,74|10,85|0,03|0,09||
2014 | Mayo|Total nacional|MAIZ DULCE|1.858,52|5.765,78|3,1|15,85|0,04|0,13||
2014 | Mayo|Total nacional|MENESTRA|310,69|583,82|1,88|1,73|0,01|0,01||
2014 | Mayo|Total nacional|TOMATES|19.716,66|26.431,95|1,34|56,82|0,44|0,59||
2014 | Mayo|Total nacional|TOMATE FRITO|13.870,30|19.597,24|1,41|46,84|0,31|0,44||
2014 | Mayo|Total nacional|TOMATE NATURAL|5.846,36|6.834,71|1,17|22,13|0,13|0,15||
2014 | Mayo|Total nacional|TOMATE N.ENTERO|815,07|1.044,69|1,28|3,54|0,02|0,02||
2014 | Mayo|Total nacional|TOMATE N.TRITUR.|5.031,29|5.790,01|1,15|19,84|0,11|0,13||
2014 | Mayo|Total nacional|OTRA VERD/HORT.CON|1.892,73|4.958,97|2,62|13,13|0,04|0,11||
2014 | Mayo|Total nacional|FRUTA EN CONSERVA|7.075,96|20.219,45|2,86|36,32|0,16|0,45||
2014 | Mayo|Total nacional|MERMELADAS,CONFIT.|2.738,20|9.397,28|3,43|22,29|0,06|0,21||
2014 | Mayo|Total nacional|FRUTA CONS/ALMIBAR|3.763,51|8.167,36|2,17|15,07|0,08|0,18||
2014 | Mayo|Total nacional|FRUTA ESCARCHADA|83,14|611,43|7,35|0,96|0|0,01||
2014 | Mayo|Total nacional|RESTO FRUTA CONSER|491,11|2.043,38|4,16|5,31|0,01|0,05||
2014 | Mayo|Total nacional|VERD./HORT.CONGELAD|11.744,65|20.768,42|1,77|37,3|0,26|0,46||
2014 | Mayo|Total nacional|ESPINACAS|1.014,21|1.611,52|1,59|6,54|0,02|0,04||
2014 | Mayo|Total nacional|GUISANTES|2.267,14|3.751,31|1,65|12,32|0,05|0,08||
2014 | Mayo|Total nacional|JUDIA VERDE|2.566,61|3.332,00|1,3|10,93|0,06|0,07||
2014 | Mayo|Total nacional|COLIFLOR|278,72|460,87|1,65|1,19|0,01|0,01||
2014 | Mayo|Total nacional|PIMIENTOS|121,24|253,94|2,09|1,31|0|0,01||
2014 | Mayo|Total nacional|BROCOLI|423,86|876,75|2,07|2,11|0,01|0,02||
2014 | Mayo|Total nacional|MENESTRA|1.116,78|1.960,29|1,76|5,18|0,02|0,04||
