CCAA,Mes,CasosConfirmados,Fallecidos,Year,Producto,Volumen (miles de kg),Penetración (%),TasaMortalidad
Aragon,4.0,127709.0,15103.0,2020.0,NARANJAS,3664.69,68.32,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,MANDARINAS,1149.58,53.02,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,LIMONES,366.73,49.46,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PLATANOS,2070.26,89.37,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,MANZANAS,2074.13,77.28,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PERAS,767.48,59.09,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,MELOCOTONES,31.71,6.14,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,NECTARINAS,37.68,5.25,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,ALBARICOQUES,17.05,4.92,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,FRESAS/FRESON,1335.8,78.75,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,MELON,342.21,15.42,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,SANDIA,318.7,10.61,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,CIRUELAS,33.84,11.01,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,CEREZAS,0.75,0.4,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,UVAS,146.7,21.78,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,KIWI,404.2,39.9,0.11826
