Año|Mes|CCAA|Producto||Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita||
2013 | Enero|Asturias|TOMATE N.ENTERO|0,1|31,05|34,49|1,11|3,41|0,03||
2013 | Enero|Asturias|TOMATE N.TRITUR.|0,03|60,45|72,97|1,21|11,76|0,06||
2013 | Enero|Asturias|OTRA VERD/HORT.CON|0,07|26,84|72,19|2,69|8,01|0,02||
2013 | Enero|Asturias|FRUTA EN CONSERVA|0,07|167,81|445,74|2,66|30,31|0,16||
2013 | Enero|Asturias|MERMELADAS,CONFIT.|0,41|46,93|149,66|3,19|18|0,04||
2013 | Enero|Asturias|FRUTA CONS/ALMIBAR|0,14|99,59|226,78|2,28|13,02|0,09||
2013 | Enero|Asturias|FRUTA ESCARCHADA|0,21|0,00|0,00|0|0|0||
2013 | Enero|Asturias|RESTO FRUTA CONSER|0|21,29|69,30|3,26|6,09|0,02||
2013 | Enero|Asturias|VERD./HORT.CONGELAD|0,06|255,28|464,10|1,82|27,9|0,24||
2013 | Enero|Asturias|ESPINACAS|0,43|41,46|63,79|1,54|8,56|0,04||
2013 | Enero|Asturias|GUISANTES|0,06|45,74|74,70|1,63|12,33|0,04||
2013 | Enero|Asturias|JUDIA VERDE|0,07|76,76|92,70|1,21|5,72|0,07||
2013 | Enero|Asturias|COLIFLOR|0,09|3,95|8,63|2,18|1,13|0||
2013 | Enero|Asturias|PIMIENTOS|0,01|0,00|0,00|0|0|0||
2013 | Enero|Asturias|BROCOLI|0|7,47|12,91|1,73|1,92|0,01||
2013 | Enero|Asturias|MENESTRA|0,01|26,50|73,31|2,77|5,79|0,02||
2013 | Enero|Asturias|OTR.VERD/HOR.CONG.|0,07|53,40|138,06|2,59|9,82|0,05||
2013 | Enero|Asturias|FRUTAS CONGELADAS|0,13|0,00|0,00|0|0|0||
2013 | Enero|Baleares|GUISANTES|Gasto per capita|10,27|34,10|3,32|2,16|0,01||
2013 | Enero|Baleares|JUDIAS VERDES|0,03|14,40|20,23|1,4|3,26|0,01||
2013 | Enero|Baleares|PIMIENTOS|0,02|12,98|51,30|3,95|9,21|0,01||
2013 | Enero|Baleares|ESPARRAGOS|0,05|34,78|192,87|5,55|14,66|0,03||
2013 | Enero|Baleares|ALCACHOFAS|0,19|2,85|13,25|4,65|1,68|0||
2013 | Enero|Baleares|CHAMPIÑOSNES+SETAS|0,01|41,29|116,31|2,82|15,55|0,04||
2013 | Enero|Baleares|MAIZ DULCE|0,12|40,21|120,62|3|12,2|0,04||
2013 | Enero|Baleares|MENESTRA|0,12|0,00|0,00|0|0|0||
2013 | Enero|Baleares|TOMATES|0|462,59|618,73|1,34|56,07|0,46||
2013 | Enero|Baleares|TOMATE FRITO|0,62|285,13|422,64|1,48|41,47|0,28||
2013 | Enero|Baleares|TOMATE NATURAL|0,42|177,46|196,09|1,11|31,4|0,18||
